,phone_no_m,city_name,county_name,idcard_cnt,arpu_201908,arpu_201909,arpu_201910,arpu_201911,arpu_201912,arpu_202001,arpu_202002,arpu_202003,label,arup_null,city_name_mean_arup,county_name_mean_arup,arup_high,num_of_call,num_of_sus,num_of_sus_prob,isimei,num_of_prob,avg_call_dur,flow,num_of_app,ave_send_interval,day_average_receive,day_average_send,month_average_receive,month_average_send,ratio(send/receive)
0,672ddbf02a5544d32e4ecc9433b1981bffe23bf912273a3a835f6cccb78b8ed7554e9ab0fbcd33d19eb6063ce00542dd223cc5cc83c68f07bcf933547b6776b1,0,0,1,46.06,45,45,45,45,45,45,45.1325,0,FALSE,67.6898946,87.9621868,0,157.25,285,1.201492537,1,1.06514658,74.18124006,0.000572882,257,14838.70035,0.026086957,6.130434783,0.75,176.25,0.007773852
1,5e1272273e041e82cb275ae877710be98cdaf5b0a8f34de8d361f71d5268fa0851edffd3950e170df1e3846fcf90cc7cc8299be9139a2ac4b5c5e5121d832674,1,1,1,79,79.2,79.1,79.3,41.4,34.1,59.4,63.9375,0,FALSE,49.47341252,50.16037681,0,19.5,32,0.555555556,0,0.406779661,77.25,0.000154153,326,4963.280123,0.10373444,17.49792531,3.125,527.125,0.007105637
2,eaab3472ec87b076e69e6e8bb62b14341638fc63661a6c682d6add360a4332a8ad294d8470d64a73c6e53e8413f0ad93b9ea65afab717e58d312554f33553ee7,2,2,2,18.85,24.45,22,21.4,22.15,21.1,61.3,31.78125,0,FALSE,67.54491469,54.3951461,0,144,124,1.62745098,1,2.074074074,44.54600694,0.000544572,232,15309.46507,0.438914027,5.78280543,12.125,159.75,0.079501169
3,0ce1bb415704178bf44e9c9b431a39b083a132c8e6d99f3627cd4520064b93ec66a72d085a67f0f40eebb9f901072965073e398f04c4ae500a1db4dfb13a972c,2,3,2,19.2,29.65,130.4,173.12,19,19,19,54.07125,0,FALSE,67.54491469,70.63089841,0,635.375,1071,0.25990676,1,0.4026439,75.27523116,0.030918301,85,4813.040513,0.197530864,17.78600823,6,540.25,0.012248671
4,28b87f35f63f65096a53e3a4c97eaffd4a6c43ffa7e92d7706b20520aa11fff0f4ce06203f66758ec0f0e70780e4e258aae6aa1f23439e115528e08eda71ed20,1,1,1,50,50,50,50,50,50,50,50,0,FALSE,49.47341252,50.16037681,0,7.625,14,0.714285714,0,0.510638298,47.24590164,0.000125056,270,29080.71745,0.005376344,3.88172043,0.125,90.25,0.008253095
5,16de3bcbd05ae39e8a553a8959d2ef6e31d9eaf34c5643ae336369ea6e3afb5dc898aa7b4ae4bd18cd013e25540f491b59befeabccd2b1ba9167836e241a10d7,3,4,2,65.55,94.45,59,65.87,59,59,59,65.19,0,FALSE,55.36581524,58.78475714,0,96.375,166,1.588235294,1,3.387640449,127.1880674,0.000549319,295,19753.78592,0.150684932,4.716894977,4.125,129.125,0.036608863
6,a19e29d2dfcf631a412c9dfd0a14f0d79ec6d784168a84e5527d7de26e37505d4fd363f6db9a5760ec88b63bb01799954fd1a24c3cd2ca3006d8977805bfb67e,2,5,1,,,,10.49,45.5,46.6,,34.19666667,1,TRUE,67.54491469,66.57455075,0,422.6666667,166,18.55555556,1,62.9,57.04968454,0.002681149,99,43252.26596,0.043478261,4.086956522,0.333333333,31.33333333,0.060606061
7,7b6b79beebb15203f984eb1b4232581151cfe633037c6467155f925b0aee6413d1af1a610bc8b3dcd90716fdd251c6053285588d89cafb87186d40a404f980e9,4,6,4,,,,,40.34,,,40.34,1,TRUE,64.16894792,97.50322389,0,63,36,6.666666667,1,16,133.3253968,0.015879723,4,84714.52593,0.285714286,6.19047619,3,65,0.081481481
8,371bb6ef7f0973e9aa4a2a324d98d326efdc903730bea9725c480391acd6cac0894d08f6b628928b5950e6683110bb12d4d99e5df51f06791c5fe0a524232228,1,7,2,29.89,17.64,14.47,15.77,25.34,9.5,9,17.22875,1,FALSE,49.47341252,12.0014375,0,46.25,26,6.2,1,62.33333333,47.42972973,0.001782516,140,5221.779076,1.575609756,18.05853659,40.375,462.75,0.088481252
9,c7c8f04a35e800c615301288bdbe6500993f87dc282025f9f358d94c0863e6c0041deab78d8e1870c312f04fd0897df52d61af0f23a495a81f831f7e8662ae50,2,8,2,21.67,29.82,36.37,20.59,15.97,23.84,15.24,22.26625,0,FALSE,67.54491469,55.71088713,0,322.25,507,0.511695906,0,0.634870499,49.21450737,7.63E-05,447,5364.882143,0.46090535,15.67489712,14,476.125,0.030676455
